through_local_task,round,observations,correct,cumulative_accuracy
0,0,9,8,0.8888888888888888
0,1,9,7,0.7777777777777778
1,0,18,14,0.7777777777777778
1,1,18,16,0.8888888888888888
2,0,27,22,0.8148148148148148
2,1,27,24,0.8888888888888888
3,0,36,29,0.8055555555555556
3,1,36,32,0.8888888888888888
4,0,45,36,0.8
4,1,45,40,0.8888888888888888
5,0,54,44,0.8148148148148148
5,1,54,49,0.9074074074074074
6,0,63,49,0.7777777777777778
6,1,63,56,0.8888888888888888
7,0,72,56,0.7777777777777778
7,1,72,64,0.8888888888888888
8,0,81,63,0.7777777777777778
8,1,81,72,0.8888888888888888
9,0,90,70,0.7777777777777778
9,1,90,81,0.9
10,0,99,77,0.7777777777777778
10,1,99,89,0.898989898989899
11,0,108,85,0.7870370370370371
11,1,108,98,0.9074074074074074
12,0,117,94,0.8034188034188035
12,1,117,107,0.9145299145299145
13,0,126,102,0.8095238095238095
13,1,126,115,0.9126984126984127
14,0,135,110,0.8148148148148148
14,1,135,123,0.9111111111111111
15,0,144,119,0.8263888888888888
15,1,144,132,0.9166666666666666
16,0,153,126,0.8235294117647058
16,1,153,140,0.9150326797385621
17,0,162,135,0.8333333333333334
17,1,162,149,0.9197530864197531
18,0,171,142,0.8304093567251462
18,1,171,155,0.9064327485380117
19,0,180,151,0.8388888888888889
19,1,180,164,0.9111111111111111
20,0,189,160,0.8465608465608465
20,1,189,173,0.9153439153439153
21,0,198,169,0.8535353535353535
21,1,198,182,0.9191919191919192
22,0,207,178,0.8599033816425121
22,1,207,191,0.9227053140096618
23,0,216,185,0.8564814814814815
23,1,216,198,0.9166666666666666
24,0,225,194,0.8622222222222222
24,1,225,207,0.92
25,0,234,201,0.8589743589743589
25,1,234,214,0.9145299145299145
26,0,243,208,0.8559670781893004
26,1,243,221,0.9094650205761317
27,0,252,215,0.8531746031746031
27,1,252,228,0.9047619047619048
28,0,261,222,0.8505747126436781
28,1,261,235,0.9003831417624522
29,0,270,231,0.8555555555555555
29,1,270,244,0.9037037037037037
30,0,279,240,0.8602150537634409
30,1,279,252,0.9032258064516129
31,0,288,249,0.8645833333333334
31,1,288,261,0.90625
32,0,297,258,0.8686868686868687
32,1,297,270,0.9090909090909091
33,0,306,266,0.869281045751634
33,1,306,279,0.9117647058823529
34,0,315,274,0.8698412698412699
34,1,315,287,0.9111111111111111
35,0,324,280,0.8641975308641975
35,1,324,293,0.904320987654321
36,0,333,287,0.8618618618618619
36,1,333,301,0.9039039039039038
37,0,342,293,0.8567251461988304
37,1,342,308,0.9005847953216374
38,0,351,302,0.8603988603988604
38,1,351,316,0.9002849002849003
39,0,360,311,0.8638888888888889
39,1,360,324,0.9
40,0,369,317,0.8590785907859079
40,1,369,330,0.8943089430894309
41,0,378,324,0.8571428571428571
41,1,378,338,0.8941798941798942
42,0,387,330,0.8527131782945736
42,1,387,346,0.8940568475452196
43,0,396,339,0.8560606060606061
43,1,396,355,0.8964646464646465
44,0,405,348,0.8592592592592593
44,1,405,363,0.8962962962962963
45,0,414,355,0.857487922705314
45,1,414,370,0.893719806763285
46,0,423,361,0.8534278959810875
46,1,423,378,0.8936170212765957
47,0,432,369,0.8541666666666666
47,1,432,385,0.8912037037037037
48,0,441,375,0.8503401360544217
48,1,441,394,0.8934240362811792
49,0,450,382,0.8488888888888889
49,1,450,402,0.8933333333333333
